Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,average,Label2,Label3
2014-01-10,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacting Crops in Southern Brazil,Argentine Farmers Hold their Grain amid Economic Turmoil,Vale Indicates a Desire to sell its Potassium Mine in Argentina,Brazilian Farmers Undecided about Safrinha Corn Acreage,Reaction to Last Week's USDA Reports,?,?,?,?,"4,26",0,0
2014-02-10,Winter Wheat May Replace some Safrinha Corn in Parana,Safrinha Soybeans Increase Nematode Populations,Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Adverse Weather takes Toll on Crops in Eastern/Southern Brazil,POET May Build Four Corn-Based Ethanol Plants in M.T. do Sul,?,?,?,?,?,"4,32",1,1
2014-03-10,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Program Encourages Grain Storage Expansion in Brazil,Grain Companies Propose Three New Railroads for Mato Grosso,Corn Earworm Damage in Bahia less than Feared,Brazilian Ranchers Combining Cattle and Row Crops for Profit,Wheat Production May Move into Central Brazil,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,Safrinha Corn and Cotton Planting Wrapping up in Mato Grosso,Drought Lowers Prospects for Brazil's Sugarcane Production,"4,58",1,1
2014-04-09,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,U.S. Corn Planting Remains Behind the Average Pace,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,When Would Corn Planting in the U.S. be Considered Late?,Exporting Grain in Containers an Emerging Trend in Brazil,Corn Planting Progress Remains Slow in the U.S.,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,"4,91",1,1
2014-05-09,El Nino could Favor Soybean and Corn Production in Brazil,First Rating Indicates the U.S. Corn is in Very Good Condition,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Brazilian Gov. Supplying Low Interest Loans for new Grain Silos,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"5,05",1,1
2014-06-11,Sunflowers can offer Alternative to Safrinha Corn in Mato Grosso,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Producers in Brazil want Government help in Marketing their Corn,Economic Uncertainty in Argentina make Farmers slow Sellers,Corn-Based Ethanol Possible in Mato Grosso - at least on Paper,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,Heavy Rains Pound NW Corn Belt resulting in Localized Flooding,"4,7",0,-1
2014-07-11,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,Pepro Corn Program in Brazil set to Start by mid-August,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Brazilian Scientists Worry Bt Corn Losing its Effectiveness,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"4,28",0,-1
2014-08-12,Farmers in Mato Grosso Slow Sellers of old Corn and New Soybeans,Farmers in Parana Brazil Opt for More Soybean Production,Brazil Set to Increase % Ethanol in Gasoline and Veg Oil in Biodiesel,Safrinha Corn Harvest Completed in Mato Grosso,Brazilian Farmers Plant Early Maturing Soybeans to Reduce Costs,Cost of Production Estimates for 2013/14 Growing Season in Brazil,SDS and Cloudy Weather Potential Impact on Soybean Production,Farmers in Northern Parana switching Full-season Corn to Soybeans,Sugarcane Production Estimates in Brazil Continue to Move Lower,Second Pepro Corn Auction in Brazil Scheduled for August 28th,"3,63",0,-1
2014-09-11,Wet Weather Increases Concerns for Wheat in Southern Brazil,Brazil's Poultry Exports Increased by Larger Volumes to Russia,Lack of Grain Storage Chronic Problem in Brazil,Brazilian Wheat Producers are Pessimistic about Price and Quality,Wet Weather Increases Disease Pressure in Brazilian Wheat,Low Prices Convince Brazilians to Hold Onto Their Corn,Ground Breaking for First Corn-Based Ethanol Plant in Brazil,Hurdles Are High for Corn-Based Ethanol Production in Brazil,Taxes on Wheat Reduced in Rio Grande do Sul to Stimulate Sales,Brazil Gov. Subsidizing Price of Corn Cotton Wheat Oranges,"3,58",0,-1
2014-10-10,Delayed Soy Planting to Result in Less Corn Acreage in Mato Grosso,Slow Forward Selling of Soy in Brazil Old Crop Corn Sales Increase,Sorghum Silage offers Alternative to Corn in Southern Brazil,Corn Earworm Already Detected from North to South in Brazil,Argentine Soybean and Corn Acreage is Point of Disagreement,Corn-Based Ethanol on the Increase in the Center-West of Brazil,Silo Bags Fill Void of Inadequate Grain Storage in Brazil,Imports Account for 75% of Fertilizer Sales in Brazil,?,?,"3,32",0,-1
