Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3
2014-01-10,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacts Soybean Yields in Goias,Freight Rates in Brazil Surge as Soy Harvesting Gets under Way,Embrapa to Conduct Field Days Promoting Conventional Soybeans,Brazil Soy Farmers Generally Successful Controlling Insects ,Vale Indicates a Desire to sell its Potassium Mine in Argentina,First New Crop Soybeans Leave Brazil Destined for China,Northern Export Routes being developed for Brazilian Soybeans,Soybean Harvest Underway in Brazil's two Top Producing States,Reaction to Last Week's USDA Reports,"13,12",0,0
2014-02-10,Dryer Weather Allows Advance of Brazil Soybean Harvest,Safrinha Soybeans Increase Nematode Populations,Secretary of Agriculture Downgrades Parana's Soy Estimate,High Humidity Causes Problems for Brazilian Soybean Harvest,"More Traffic Woes for Brazil's ""Soybean Highway""",Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Conab Trims Brazilian Soybean Estimate,?,?,?,"12,97",0,-1
2014-03-10,Argentine Farmers still holding over 7 Million Tons of Soybeans,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Brazil on track for Record Soybean Exports,Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans,Wheat Production May Move into Central Brazil,Argentine Farmers Still Hold 5 mt of Last Year's Soybean Crop,Brazil Soybean Exports off to a Faster Start than Last Year,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,"Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road","13,77",1,1
2014-04-09,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Amazon River Route Inaugurated for Brazilian Soybean Exports,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,Wheat Production in Argentina and Brazil could Rebound in 2014,"""Brazil Cost"" was Main Theme of Seminar in Brazilian Congress",Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5%,"14,32",1,1
2014-05-09,El Nino could Favor Soybean and Corn Production in Brazil,Soybeans Surpass Iron Ore as Main Brazil Export thus far in 2014,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"14,85",1,1
2014-06-11,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Economic Uncertainty in Argentina make Farmers slow Sellers,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,Wheat Production Increasing in Brazil's Cerrado Region,Port of Santos Struggles while Paranagua Exports Record Soy,"14,84",0,0
2014-07-11,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,90-day Soybean Free Period helps to Control Spread of Rust in Brazil,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Rain in Mato Grosso Complicates Soybean Eradication Efforts,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"13,67",0,-1
2014-08-12,Farmers in Mato Grosso Slow Sellers of old Corn and New Soybeans,Farmers in Parana Brazil Opt for More Soybean Production,Brazil Set to Increase % Ethanol in Gasoline and Veg Oil in Biodiesel,Brazilian Farmers Plant Early Maturing Soybeans to Reduce Costs,Cost of Production Estimates for 2013/14 Growing Season in Brazil,SDS and Cloudy Weather Potential Impact on Soybean Production,Farmers in Northern Parana switching Full-season Corn to Soybeans,Pasture Conversions Source of New Soy Acreage in Central Brazil,Sugarcane Production Estimates in Brazil Continue to Move Lower,Brazilian Sugar Mills Generate Revenue by Selling Excess Electricity,"11,56",0,-1
2014-09-11,Some Brazilian Soybean Producers may lose Money in 2014/15,Wet Weather Increases Concerns for Wheat in Southern Brazil,Full-Season Cotton in Brazil moved to Safrinha Replaced by Soy,Brazil's Poultry Exports Increased by Larger Volumes to Russia,Brazilian Wheat Producers are Pessimistic about Price and Quality,Lack of Uniformity in Maturing Soy Worries Brazilian Processors,Wet Weather Increases Disease Pressure in Brazilian Wheat,Low Prices Convince Brazilians to Hold Onto Their Corn,2014/15 Soybean Planting off to a Fast Start in Brazil,Live Rust Spores Found on Volunteer Soybeans in Mato Grosso,"10,69",0,-1
2014-10-10,Delayed Soy Planting to Result in Less Corn Acreage in Mato Grosso,Slow Forward Selling of Soy in Brazil Old Crop Corn Sales Increase,Brazilian Farmers Planting Soybeans at Half the Average Pace,Brazil's Soybeans being Planting at Half the Normal Pace,Argentine Soybean and Corn Acreage is Point of Disagreement,Extension of Soybean-Free Period in Mato Grosso Meets Resistance,Corn-Based Ethanol on the Increase in the Center-West of Brazil,Soy Planting in Mato Grosso Slowed due to Hot and Dry Conditions,Soybean Planting in Northern Parana halted by Dry Conditions,Imports Account for 75% of Fertilizer Sales in Brazil,"9,45",0,-1
2014-11-10,Argentine Farmers may be Denied Credit due to Lack of Soy Sales,Agricultural Equipment Sales in Brazil down 16%,Farmers in Parana Wrapping up Corn and Soybean Planting,Mato Grosso do Sul has Storage for only 60% of its Grain Production,Restrictions on Safrinha Soy may be modified for Seed Producers,Low Prices and high Costs Lowers Enthusiasm for Safrinha Corn,Soybean Moratorium in Amazon Region Extended until May of 2016,Soybeans Gain Acreage from Sugarcane in Sao Paulo Brazil,Argentine Farmers continue to be Slow Sellers of their Grain,Most Soy Planting in Parana Should be Completed within a Week,"9,91",1,1
2014-12-10,Early 2014/15 Soybean Yields in Brazil are Variable,Brazilian Scientists feel Safrinha Soybean Production Unstainable,Brazilian State of Rondonia expands Soybean Acreage by 26%,Early Soybean Harvest getting underway in Brazil,Soybeans Increase their Dominance of First Crop Planting in Brazil,Early Soybean Harvest started in Mato Grosso before Christmas,Cotton Acreage to decline 12% in Mato Grosso,Peak of Soy Harvest in Mato Grosso will be Feb 15th to March 7th,Soybeans to Occupy 73% of the Cropland in Western Bahia,Ranchers in Mato Grosso do Sul combining Cattle and Soybean Production,"10,3",1,1
2015-01-12,Brazil Soybean Harvest is 10% Complete,254 Cases of Soybean Rust in Brazil Slight Increase over Last Week,Dryness in Brazil Encourages Fast Soy Harvest Slow Corn Planting,6% of Mato Grosso's Soybeans lost Pre and Post-Harvest,Soybean Looper Numbers Highest in 10 years in Southern Brazil,Brazilian Ports Increase Capacity to Accommodate Larger Soy Crop,Early Soybean Harvest in Mato Grosso off to Surprisingly Fast Start,First Vessel Loading Soybeans at Port of Paranagua,Farmers in Mato Grosso have sold 45% of their Soy Sales Slowing,Brazilian Farmers Confronting Increased Pest Pressures,"10,38",0,0
2015-02-10,Soybean Yields in Mato Grosso have Stagnated over the last 15 Years,Record Breaking Soybean Crop Expected in Rio Grande do Sul,Rio Grande do Sul Registers Most Cases of Soybean Rust in Brazil,Grain Trucks Blockaded in Mato Grosso to Protest High Fuel Prices,Mato Grosso Farmers free to Plant Safrinha Soy this Growing Season,2014/15 Brazil Soybean Harvest Slower than Last Two Years,"Work Started on Improving Brazil's ""Soybean Highway""",Brazilian Farmers have Sold 38% of their Soybeans vs 54% Average,Conab Lowers 2014/15 Brazilian Soy Estimate in February Report,Soy-Free Dates in Mato Grosso set from May 1st to September 15th,"9,82",0,-1
